,Exited
0,0.02333405759536626
1,0.5568970847541426
2,0.15523865959442026
3,0.19258766594588092
4,0.28780025060458936
5,0.06038299793634834
6,0.0852837042968694
7,0.18582132340298474
8,0.6147884150513917
9,0.025635574417581405
10,0.06103445334016272
11,0.12789253914362217
12,0.018351542118676553
13,0.12859907710477045
14,0.4378325779664032
15,0.10016717919090039
16,0.08614134716696797
17,0.2646087768602885
18,0.07686951861903998
19,0.19870017841784382
20,0.06032253316208042
21,0.17886021700649923
22,0.18118680569558615
23,0.033095031354039905
24,0.42539451694834296
25,0.35404376045212554
26,0.7116007618002917
27,0.17130498508900188
28,0.12800180562107086
29,0.17977605748047343
30,0.057446522077704266
31,0.10189361499550033
32,0.08536757450102275
33,0.3048727572037087
34,0.09564132721994553
35,0.025818736483312583
36,0.5333385405116315
37,0.17435527546755894
38,0.2092915801676316
39,0.6862344095355281
40,0.4592082292291958
41,0.37839747106820776
42,0.16770139743607923
43,0.031626368598925814
44,0.38009417413201524
45,0.3381248866126056
46,0.042419570491947424
47,0.038611586962969464
48,0.015493276249416868
49,0.32081261708684006
50,0.10192903257294131
51,0.020862830438802323
52,0.04670474358923519
53,0.26132544429056903
54,0.1258117542408253
55,0.2699490731807714
56,0.2167886130383997
57,0.04949264336993996
58,0.08139238359743793
59,0.10610059942172784
60,0.037717437016722775
61,0.23285659892536528
62,0.12072381398410827
63,0.31873150688422786
64,0.051334061362348186
65,0.036945987275484655
66,0.5522234896397689
67,0.02477850962494472
68,0.1287248512329096
69,0.07268385277200287
70,0.17885676909945852
71,0.35943221034914474
72,0.29072386475160356
73,0.07429442118756371
74,0.03456526258032789
75,0.3972223386091837
76,0.03597007693367442
77,0.2233277236497194
78,0.2722150068581483
79,0.09933658224265449
80,0.06999169454545623
81,0.06965301505731328
82,0.2694515282724323
83,0.14104240410610577
84,0.24193807856310645
85,0.27155719389596267
86,0.22954456332078005
87,0.3931849826159913
88,0.33018974399461604
89,0.08599868337083477
90,0.5110011844831185
91,0.0646347260126947
92,0.07019434789094499
93,0.055031132130241134
94,0.05062292955178628
95,0.03968351065511303
96,0.09701980704235372
97,0.02230229073005753
98,0.23807047827862843
99,0.2363803695313184
100,0.03583294781682072
101,0.25359254445303286
102,0.017377079717217997
103,0.45193027322884366
104,0.5753461796990119
105,0.5470566989332987
106,0.23652539519561738
107,0.13301117239930527
108,0.02673984433920949
109,0.1912117097590084
110,0.15863343477059474
111,0.2596641162200492
112,0.10533377022579414
113,0.1843782876183734
114,0.0916511011336539
115,0.10030535393238961
116,0.04167495232416409
117,0.6267773402388251
118,0.26834397683300215
119,0.0488443744595109
120,0.09881308964969664
121,0.05278548678155193
122,0.036356529421082695
123,0.08827520563143795
124,0.46548328849707765
125,0.25710949463410426
126,0.084803750425263
127,0.07781420757831797
128,0.5843540797769884
129,0.07137420461361932
130,0.07686030874764745
131,0.20555107386155236
132,0.80055835471082
133,0.05362840247566902
134,0.04950879280813533
135,0.17520128588082426
136,0.21333718354272416
137,0.21431041559034528
138,0.25640220489897464
139,0.1957012270785627
140,0.0479575459000652
141,0.34714593429886575
142,0.09815691354329792
143,0.07761972977117487
144,0.19293062205937186
145,0.4690915805344527
146,0.05326272428696
147,0.6568739934174069
148,0.4178319564564115
149,0.03477896135977709
150,0.1632148500276128
151,0.11532830018740023
152,0.04426535457526625
153,0.29141265143094475
154,0.7436207306230926
155,0.07458787709694668
156,0.028215033614526007
157,0.06597606211057311
158,0.26376127581361053
159,0.19955837804066098
160,0.2633626875794808
161,0.3192065258446208
162,0.16240182485750304
163,0.5990459667543854
164,0.5655325934365604
165,0.027913189893077794
166,0.3172906285943785
167,0.5623130216307725
168,0.6405701667933628
169,0.7557741150728512
170,0.3946026553401086
171,0.10507686002242839
172,0.3300567151775499
173,0.10530074814331088
174,0.07376171275717122
175,0.11650626833335155
176,0.5410343213360923
177,0.6006540561031701
178,0.05626340818065491
179,0.024532919461652418
180,0.750224533714441
181,0.2894734877428065
182,0.17024405863932804
183,0.022633473435022533
184,0.040344127318232004
185,0.6130951404488821
186,0.1596560912327946
187,0.2290669601061166
188,0.27841460266110524
189,0.05059449460489163
190,0.05055781745094961
191,0.6749080493049197
192,0.4300265069144809
193,0.33653593852058833
194,0.45984433406760783
195,0.33325179355436146
196,0.08890316050471421
197,0.05527397459900297
198,0.01668001197213078
199,0.21488590651307307
200,0.056602542421320685
201,0.051443381941365364
202,0.4168132777908194
203,0.02073283484664012
204,0.2152685652243978
205,0.0885035185322167
206,0.0379049883955434
207,0.02279000029282326
208,0.4683473487909651
209,0.13850237449340447
210,0.5266762983535782
211,0.0286304283709959
212,0.1461670581843272
213,0.08639034599430265
214,0.14862590819785743
215,0.1670459225591777
216,0.0663085741659644
217,0.03838301716562319
218,0.2582600911417354
219,0.18096101892782845
220,0.10574894409532166
221,0.0872405753401297
222,0.45271341902084533
223,0.1185430676245466
224,0.00884981381077236
225,0.3331481537478653
226,0.8424479316633252
227,0.5939054239290461
228,0.5252364018639829
229,0.040597501158354816
230,0.03885414020921379
231,0.04886466960240139
232,0.01611408808590072
233,0.18508382588363265
234,0.1855242218998356
235,0.3956941892758519
236,0.24473815955193778
237,0.1301926071504497
238,0.16841829896466565
239,0.11277914732016472
240,0.09335774488157393
241,0.23087182650047422
242,0.22115079887801925
243,0.3172298124255727
244,0.7104283117861926
245,0.21565963171159164
246,0.09532928753661853
247,0.050185867336744225
248,0.18450056625225117
249,0.023947414704908757
250,0.21127164948899105
251,0.17122928157308412
252,0.14076694404918386
253,0.0776826306466777
254,0.07435438301293444
255,0.0892757988200572
256,0.07232400205606586
257,0.38445536195757574
258,0.1695949238212652
259,0.5217675595248527
260,0.03114724568153255
261,0.08462505902196804
262,0.0750607297527576
263,0.05580512954333186
264,0.018142385682408328
265,0.1080643829517088
266,0.4071734562630796
267,0.10405732028371688
268,0.3658472158805476
269,0.07655566825955622
270,0.010210002904766613
271,0.021014297928611522
272,0.023846369289178097
273,0.30738136554731
274,0.11658620830338222
275,0.1605506521675756
276,0.2428261022337657
277,0.17676451553274258
278,0.5872236099240221
279,0.1108432679185553
280,0.13334296914351873
281,0.3356695228019738
282,0.07429986093355752
283,0.01791777025968648
284,0.39468180195909597
285,0.2457556205134997
286,0.1314111655514414
287,0.19063933935363475
288,0.07234036982076486
289,0.1678571586637951
290,0.3581891175941166
291,0.4792299324771167
292,0.3833475867837341
293,0.286766302494856
294,0.2647839311428362
295,0.08324424521768382
296,0.09689931625319397
297,0.10717409960307374
298,0.4790907053703506
299,0.05989159602501511
300,0.02185250683090453
301,0.09891902331160321
302,0.3367947862669514
303,0.0891705436621902
304,0.19697454265035566
305,0.4102335205582333
306,0.16873787777858534
307,0.06842660418705845
308,0.09677084269670412
309,0.021236336225279914
310,0.0903116255120187
311,0.12479194287317612
312,0.8528762679933364
313,0.16168752694819777
314,0.20176065390770354
315,0.0367664540218027
316,0.020032811083268535
317,0.2718008181519805
318,0.1725825644223294
319,0.024211185954428678
320,0.20220701607450103
321,0.04646971413280248
322,0.09025605246626246
323,0.11277930800261056
324,0.16778428381142813
325,0.11174371706760687
326,0.07407372765560417
327,0.20031506337708221
328,0.6430486106714928
329,0.19936659365257758
330,0.08643495145902723
331,0.1151338104061915
332,0.016516124950464447
333,0.15386128852707587
334,0.06298600605395108
335,0.6011379514505635
336,0.33975250186463074
337,0.01389277227325201
338,0.11844661756468611
339,0.06850143292115893
